#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,125978653,,1625792.0,,121651500.0,1255.0,2701361.0,"6,802",,,,,,North America,,,,,,
,Asia,215951975,7048.0,1542752.0,15.0,200171628.0,13135.0,14237595.0,"15,515",,,,,,Asia,,,,,,
,Europe,248341338,7235.0,2034898.0,44.0,244112721.0,10504.0,2193719.0,"6,415",,,,,,Europe,,,,,,
,South America,68452197,,1353366.0,,66431785.0,327.0,667046.0,"10,166",,,,,,South America,,,,,,
,Oceania,14084808,,26940.0,,13901165.0,,156703.0,71,,,,,,Australia/Oceania,,,,,,
,Africa,12815688,,258682.0,,12082702.0,,474304.0,548,,,,,,Africa,,,,,,
,,721,,15.0,,706.0,,0.0,0,,,,,,,,,,,,
,World,685625380,14283.0,6842445.0,59.0,658352207.0,25221.0,20430728.0,"39,517","87,959",877.8,,,,All,,,,,,
1,USA,106464679,,1158158.0,,104311698.0,,994823.0,"1,636","317,990","3,459",1175946071.0,"3,512,328","334,805,269",North America,3,289,0,,,"2,971"
2,India,44818115,,531114.0,,44229459.0,,57542.0,,"31,862",378,923877832.0,"656,801","1,406,631,776",Asia,31,"2,648",2,,,41
3,France,39896203,,166024.0,,39592740.0,,137439.0,869,"608,317","2,531",271490188.0,"4,139,547","65,584,518",Europe,2,395,0,,,"2,096"
4,Germany,38382386,,171992.0,,38150100.0,900.0,60294.0,,"457,567","2,050",122332384.0,"1,458,359","83,883,596",Europe,2,488,1,,,719
5,Brazil,37358092,,700811.0,,36249161.0,,408120.0,,"173,473","3,254",63776166.0,"296,146","215,353,593",South America,6,307,3,,,"1,895"
6,Japan,33580723,7028.0,74235.0,15.0,21725273.0,,11781215.0,58,"267,395",591,99154890.0,"789,545","125,584,838",Asia,4,"1,692",1,56,0.1,"93,811"
